uniprot_acc	inferred_tier_a	inferred_tier_b	confidence_score	contradiction_flag	composite_architecture	n_sources	conflict_notes	curator_decision	curator_notes
P15894	DSB_FREE_TRANSEST_RECOMBINASE	UNKNOWN	0.3889	True	False	3	contradiction (conf=0.39)		
Q53198	TRANSPOSASE	UNKNOWN	0.3889	True	False	3	contradiction (conf=0.39)		
A4FUB7	DSB_FREE_TRANSEST_RECOMBINASE	UNKNOWN	0.3889	True	False	3	contradiction (conf=0.39)		
Q4R6I1	DSB_FREE_TRANSEST_RECOMBINASE	UNKNOWN	0.3889	True	False	3	contradiction (conf=0.39)		
Q9NXP7	DSB_FREE_TRANSEST_RECOMBINASE	UNKNOWN	0.3889	True	False	3	contradiction (conf=0.39)		
Q48514	TRANSPOSASE	UNKNOWN	0.3889	True	False	3	contradiction (conf=0.39)		
Q88419	DSB_FREE_TRANSEST_RECOMBINASE	UNKNOWN	0.3889	True	False	3	contradiction (conf=0.39)		
Q56897	TRANSPOSASE	UNKNOWN	0.4516	True	False	5	contradiction (conf=0.45)		
P14707	TRANSPOSASE	UNKNOWN	0.4516	True	False	5	contradiction (conf=0.45)		
Q9HI37	TRANSPOSASE	UNKNOWN	0.4516	True	False	5	contradiction (conf=0.45)		
P55626	TRANSPOSASE	UNKNOWN	0.4516	True	False	5	contradiction (conf=0.45)		
P55615	TRANSPOSASE	UNKNOWN	0.4516	True	False	5	contradiction (conf=0.45)		
P55643	TRANSPOSASE	UNKNOWN	0.4516	True	False	5	contradiction (conf=0.45)		
Q45968	TRANSPOSASE	UNKNOWN	0.4516	True	False	5	contradiction (conf=0.45)		
P0A050	TRANSPOSASE	UNKNOWN	0.5385	True	False	2	contradiction (conf=0.54)		
P0A055	TRANSPOSASE	UNKNOWN	0.5385	True	False	2	contradiction (conf=0.54)		
P0A054	TRANSPOSASE	UNKNOWN	0.5385	True	False	2	contradiction (conf=0.54)		
P0A053	TRANSPOSASE	UNKNOWN	0.5385	True	False	2	contradiction (conf=0.54)		
P0A052	TRANSPOSASE	UNKNOWN	0.5385	True	False	2	contradiction (conf=0.54)		
P81315	TRANSPOSASE	UNKNOWN	0.5385	True	False	2	contradiction (conf=0.54)		
P0A051	TRANSPOSASE	UNKNOWN	0.5385	True	False	2	contradiction (conf=0.54)		
Q5UPI0	TRANSPOSASE	UNKNOWN	0.5385	True	False	2	contradiction (conf=0.54)		
P22886	TRANSPOSASE	UNKNOWN	0.5385	True	False	2	contradiction (conf=0.54)		
Q5URB4	TRANSPOSASE	UNKNOWN	0.5385	True	False	2	contradiction (conf=0.54)		
P62905	TRANSPOSASE	UNKNOWN	0.5385	True	False	2	contradiction (conf=0.54)		
P62904	TRANSPOSASE	UNKNOWN	0.5385	True	False	2	contradiction (conf=0.54)		
P37375	TRANSPOSASE	UNKNOWN	0.5385	True	False	2	contradiction (conf=0.54)		
O41107	TRANSPOSASE	UNKNOWN	0.5385	True	False	2	contradiction (conf=0.54)		
A0A6H0YI41	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YI46	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YI53	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YI20	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YI78	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A023HI15	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHU9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YI06	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YI00	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHZ5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHZ3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHW0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHT5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHR2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHQ5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YHP7	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YI19	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YI87	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIG9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YI93	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YYE0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YYD6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YYB3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YY09	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YXF8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YXF5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YXD3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YX87	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YWV2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YWR9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YKC5	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YJG9	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIZ3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIW6	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YI90	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIW4	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIT8	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIR3	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIR2	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
A0A6H0YIP0	TRANSPOSASE	UNKNOWN	0.5455	True	False	2	contradiction (conf=0.55)		
